INFO : 1 | Red          @ 1384826.187
INFO : 0 | Green        @ 1384826.25
INFO : 1 | Green        @ 1384836.187
INFO : 0 | Red          @ 1384836.25
INFO : 1 | Red          @ 1384846.187
INFO : 0 | Green        @ 1384846.25
INFO : 1 | Green        @ 1384856.171
INFO : 0 | Red          @ 1384856.25
INFO : 1 | Red          @ 1384866.171
INFO : 0 | Green        @ 1384866.25
INFO : 1 | Green        @ 1384876.171
INFO : 0 | Red          @ 1384876.25
INFO : 1 | Red          @ 1384886.171
INFO : 0 | Green        @ 1384886.25
INFO : 1 | Green        @ 1384896.359
INFO : 0 | Red          @ 1384896.359
INFO : 1 | Red          @ 1384906.187
INFO : 0 | Green        @ 1384906.265
INFO : 1 | Green        @ 1384916.187
INFO : 0 | Red          @ 1384916.265
INFO : 1 | Red          @ 1384926.203
INFO : 0 | Green        @ 1384926.265
INFO : 1 | Green        @ 1384936.203
INFO : 0 | Red          @ 1384936.265
INFO : 1 | Red          @ 1384946.203
INFO : 0 | Green        @ 1384946.265
INFO : 1 | Green        @ 1384956.203
INFO : 0 | Red          @ 1384956.265
INFO : 1 | Red          @ 1384966.203
INFO : 0 | Green        @ 1384966.265
INFO : 1 | Green        @ 1384976.203
INFO : 0 | Red          @ 1384976.265
INFO : 1 | Red          @ 1384986.203
INFO : 0 | Green        @ 1384986.265
INFO : 1 | Green        @ 1384996.203
INFO : 0 | Red          @ 1384996.281
INFO : 1 | Red          @ 1385006.203
INFO : 0 | Green        @ 1385006.281
INFO : 1 | Green        @ 1385016.203
INFO : 0 | Red          @ 1385016.281
INFO : 1 | Red          @ 1385026.203
INFO : 0 | Green        @ 1385026.281
INFO : 1 | Green        @ 1385036.203
INFO : 0 | Red          @ 1385036.281
INFO : 1 | Red          @ 1385046.203
INFO : 0 | Green        @ 1385046.281
INFO : 1 | Green        @ 1385056.203
INFO : 0 | Red          @ 1385056.281
INFO : 1 | Red          @ 1385066.203
INFO : 0 | Green        @ 1385066.281
INFO : 1 | Green        @ 1385076.203
INFO : 0 | Red          @ 1385076.281
INFO : 1 | Red          @ 1385086.203
INFO : 0 | Green        @ 1385086.281
INFO : 1 | Green        @ 1385096.203
INFO : 0 | Red          @ 1385096.281
INFO : 1 | Red          @ 1385106.203
INFO : 0 | Green        @ 1385106.296
INFO : 1 | Green        @ 1385116.203
INFO : 0 | Red          @ 1385116.281
INFO : 1 | Red          @ 1385126.218
INFO : 0 | Green        @ 1385126.281
INFO : 1 | Green        @ 1385136.234
INFO : 0 | Red          @ 1385136.265
INFO : 1 | Red          @ 1385146.218
INFO : 0 | Green        @ 1385146.25
INFO : 1 | Green        @ 1385156.218
INFO : 0 | Red          @ 1385156.25
INFO : 1 | Red          @ 1385166.218
INFO : 0 | Green        @ 1385166.234
INFO : 1 | Green        @ 1385176.218
INFO : 0 | Red          @ 1385176.234
INFO : 1 | Red          @ 1385186.218
INFO : 0 | Green        @ 1385186.234
INFO : 1 | Green        @ 1385196.218
INFO : 0 | Red          @ 1385196.218
INFO : 1 | Red          @ 1385206.218
INFO : 0 | Green        @ 1385206.218
INFO : 0 | Red          @ 1385216.218
INFO : 1 | Green        @ 1385216.218
INFO : 0 | Green        @ 1385226.218
INFO : 1 | Red          @ 1385226.218
INFO : 0 | Red          @ 1385236.218
INFO : 1 | Green        @ 1385236.218
INFO : 0 | Green        @ 1385246.203
INFO : 1 | Red          @ 1385246.218
INFO : 0 | Red          @ 1385256.203
INFO : 1 | Green        @ 1385256.234
INFO : 0 | Green        @ 1385266.203
INFO : 1 | Red          @ 1385266.218
INFO : 0 | Red          @ 1385276.203
INFO : 1 | Green        @ 1385276.218
INFO : 0 | Green        @ 1385286.203
INFO : 1 | Red          @ 1385286.218
INFO : 0 | Red          @ 1385296.203
INFO : 1 | Green        @ 1385296.234
INFO : 0 | Green        @ 1385306.203
INFO : 1 | Red          @ 1385306.218
INFO : 0 | Red          @ 1385316.203
INFO : 1 | Green        @ 1385316.218
INFO : 0 | Green        @ 1385326.203
INFO : 1 | Red          @ 1385326.218
INFO : 0 | Red          @ 1385336.203
INFO : 1 | Green        @ 1385336.218
INFO : 0 | Green        @ 1385346.203
INFO : 1 | Red          @ 1385346.234
INFO : 0 | Red          @ 1385356.203
INFO : 1 | Green        @ 1385356.234
INFO : 0 | Green        @ 1385366.203
INFO : 1 | Red          @ 1385366.234
INFO : 0 | Red          @ 1385376.203
INFO : 1 | Green        @ 1385376.234
INFO : 0 | Green        @ 1385386.203
INFO : 1 | Red          @ 1385386.234
INFO : 0 | Red          @ 1385396.203
INFO : 1 | Green        @ 1385396.218
INFO : 0 | Green        @ 1385406.203
INFO : 1 | Red          @ 1385406.218
INFO : 0 | Red          @ 1385416.203
INFO : 1 | Green        @ 1385416.218
INFO : 0 | Green        @ 1385426.218
INFO : 1 | Red          @ 1385426.218
INFO : 0 | Red          @ 1385436.203
INFO : 1 | Green        @ 1385436.218
INFO : 0 | Green        @ 1385446.187
INFO : 1 | Red          @ 1385446.218
INFO : 0 | Red          @ 1385456.203
INFO : 1 | Green        @ 1385456.218
INFO : 0 | Green        @ 1385466.203
INFO : 1 | Red          @ 1385466.218
INFO : 0 | Red          @ 1385476.203
INFO : 1 | Green        @ 1385476.218
INFO : 0 | Green        @ 1385486.203
INFO : 1 | Red          @ 1385486.218
INFO : 0 | Red          @ 1385496.187
INFO : 1 | Green        @ 1385496.203
INFO : 0 | Green        @ 1385506.187
INFO : 1 | Red          @ 1385506.203
INFO : 0 | Red          @ 1385516.203
INFO : 1 | Green        @ 1385516.203
INFO : 0 | Green        @ 1385526.203
INFO : 1 | Red          @ 1385526.203
INFO : 0 | Red          @ 1385536.187
INFO : 1 | Green        @ 1385536.218
INFO : 0 | Green        @ 1385546.203
INFO : 1 | Red          @ 1385546.203
INFO : 0 | Red          @ 1385556.187
INFO : 1 | Green        @ 1385556.203
INFO : 0 | Green        @ 1385566.187
INFO : 1 | Red          @ 1385566.203
INFO : 0 | Red          @ 1385576.187
INFO : 1 | Green        @ 1385576.203
INFO : 0 | Green        @ 1385586.187
INFO : 1 | Red          @ 1385586.203
INFO : 0 | Red          @ 1385596.187
INFO : 1 | Green        @ 1385596.203
INFO : 0 | Green        @ 1385606.187
INFO : 1 | Red          @ 1385606.203
INFO : 0 | Red          @ 1385616.187
INFO : 1 | Green        @ 1385616.203
INFO : 0 | Green        @ 1385626.187
INFO : 1 | Red          @ 1385626.203
INFO : 0 | Red          @ 1385636.187
INFO : 1 | Green        @ 1385636.203
INFO : 0 | Green        @ 1385646.187
INFO : 1 | Red          @ 1385646.203
INFO : 0 | Red          @ 1385656.187
INFO : 1 | Green        @ 1385656.203
INFO : 0 | Green        @ 1385666.187
INFO : 1 | Red          @ 1385666.203
INFO : 0 | Red          @ 1385676.187
INFO : 1 | Green        @ 1385676.203
INFO : 0 | Green        @ 1385686.187
INFO : 1 | Red          @ 1385686.203
INFO : 0 | Red          @ 1385696.187
INFO : 1 | Green        @ 1385696.203
INFO : 0 | Green        @ 1385706.187
INFO : 1 | Red          @ 1385706.203
INFO : 0 | Red          @ 1385716.187
INFO : 1 | Green        @ 1385716.203
INFO : 0 | Green        @ 1385726.187
INFO : 1 | Red          @ 1385726.234
INFO : 0 | Red          @ 1385736.187
INFO : 1 | Green        @ 1385736.203
INFO : 0 | Green        @ 1385746.187
INFO : 1 | Red          @ 1385746.203
INFO : 0 | Red          @ 1385756.187
INFO : 1 | Green        @ 1385756.203
INFO : 0 | Green        @ 1385766.187
INFO : 1 | Red          @ 1385766.203
INFO : 0 | Red          @ 1385776.187
INFO : 1 | Green        @ 1385776.203
INFO : 0 | Green        @ 1385786.187
INFO : 1 | Red          @ 1385786.203
INFO : 0 | Red          @ 1385796.187
INFO : 1 | Green        @ 1385796.203
INFO : 0 | Green        @ 1385806.187
INFO : 1 | Red          @ 1385806.203
INFO : 0 | Red          @ 1385816.187
INFO : 1 | Green        @ 1385816.203
INFO : 0 | Green        @ 1385826.187
INFO : 1 | Red          @ 1385826.203
INFO : 0 | Red          @ 1385836.187
INFO : 1 | Green        @ 1385836.203
INFO : 0 | Green        @ 1385846.187
INFO : 1 | Red          @ 1385846.203
INFO : 0 | Red          @ 1385856.187
INFO : 1 | Green        @ 1385856.203
INFO : 0 | Green        @ 1385866.187
INFO : 1 | Red          @ 1385866.203
INFO : 0 | Red          @ 1385876.187
INFO : 1 | Green        @ 1385876.203
INFO : 0 | Green        @ 1385886.187
INFO : 1 | Red          @ 1385886.203
INFO : 0 | Red          @ 1385896.187
INFO : 1 | Green        @ 1385896.203
INFO : 0 | Green        @ 1385906.187
INFO : 1 | Red          @ 1385906.203
INFO : 0 | Red          @ 1385916.187
INFO : 1 | Green        @ 1385916.203
INFO : 0 | Green        @ 1385926.187
INFO : 1 | Red          @ 1385926.203
INFO : 0 | Red          @ 1385936.187
INFO : 1 | Green        @ 1385936.203
INFO : 0 | Green        @ 1385946.187
INFO : 1 | Red          @ 1385946.203
INFO : 0 | Red          @ 1385956.187
INFO : 1 | Green        @ 1385956.203
INFO : 0 | Green        @ 1385966.187
INFO : 1 | Red          @ 1385966.203
INFO : 0 | Red          @ 1385976.187
INFO : 1 | Green        @ 1385976.203
INFO : 0 | Green        @ 1385986.187
INFO : 1 | Red          @ 1385986.218
INFO : 0 | Red          @ 1385996.187
INFO : 1 | Green        @ 1385996.203
INFO : 0 | Green        @ 1386006.187
INFO : 1 | Red          @ 1386006.203
INFO : 0 | Red          @ 1386016.187
INFO : 1 | Green        @ 1386016.203
INFO : 0 | Green        @ 1386026.187
INFO : 1 | Red          @ 1386026.203
INFO : 0 | Red          @ 1386036.187
INFO : 1 | Green        @ 1386036.203
INFO : 0 | Green        @ 1386046.187
INFO : 1 | Red          @ 1386046.203
INFO : 0 | Red          @ 1386056.187
INFO : 1 | Green        @ 1386056.218
INFO : 0 | Green        @ 1386066.187
INFO : 1 | Red          @ 1386066.203
INFO : 0 | Red          @ 1386076.187
INFO : 1 | Green        @ 1386076.203
INFO : 0 | Green        @ 1386086.187
INFO : 1 | Red          @ 1386086.203
INFO : 0 | Red          @ 1386096.187
INFO : 1 | Green        @ 1386096.203
INFO : 0 | Green        @ 1386106.187
INFO : 1 | Red          @ 1386106.203
INFO : 0 | Red          @ 1386116.187
INFO : 1 | Green        @ 1386116.218
INFO : 0 | Green        @ 1386126.187
INFO : 1 | Red          @ 1386126.203
INFO : 0 | Red          @ 1386136.187
INFO : 1 | Green        @ 1386136.203
INFO : 0 | Green        @ 1386146.187
INFO : 1 | Red          @ 1386146.218
INFO : 0 | Red          @ 1386156.187
INFO : 1 | Green        @ 1386156.218
INFO : 0 | Green        @ 1386166.187
INFO : 1 | Red          @ 1386166.218
INFO : 0 | Red          @ 1386176.187
INFO : 1 | Green        @ 1386176.218
INFO : 0 | Green        @ 1386186.187
INFO : 1 | Red          @ 1386186.218
INFO : 0 | Red          @ 1386196.187
INFO : 1 | Green        @ 1386196.218
INFO : 0 | Green        @ 1386206.187
INFO : 1 | Red          @ 1386206.218
INFO : 0 | Red          @ 1386216.187
INFO : 1 | Green        @ 1386216.218
INFO : 0 | Green        @ 1386226.187
INFO : 1 | Red          @ 1386226.218
INFO : 0 | Red          @ 1386236.187
INFO : 1 | Green        @ 1386236.218
INFO : 0 | Green        @ 1386246.187
INFO : 1 | Red          @ 1386246.218
INFO : 0 | Red          @ 1386256.187
INFO : 1 | Green        @ 1386256.218
INFO : 0 | Green        @ 1386266.187
INFO : 1 | Red          @ 1386266.218
INFO : 0 | Red          @ 1386276.187
INFO : 1 | Green        @ 1386276.218
INFO : 0 | Green        @ 1386286.187
INFO : 1 | Red          @ 1386286.218
INFO : 0 | Red          @ 1386296.171
INFO : 1 | Green        @ 1386296.218
INFO : 0 | Green        @ 1386306.187
INFO : 1 | Red          @ 1386306.218
INFO : 0 | Red          @ 1386316.203
INFO : 1 | Green        @ 1386316.218
INFO : 0 | Green        @ 1386326.171
INFO : 1 | Red          @ 1386326.218
INFO : 0 | Red          @ 1386336.171
INFO : 1 | Green        @ 1386336.218
INFO : 0 | Green        @ 1386346.171
INFO : 1 | Red          @ 1386346.218
INFO : 0 | Red          @ 1386356.171
INFO : 1 | Green        @ 1386356.218
INFO : 0 | Green        @ 1386366.171
INFO : 1 | Red          @ 1386366.218
INFO : 0 | Red          @ 1386376.171
INFO : 1 | Green        @ 1386376.218
INFO : 0 | Green        @ 1386386.171
INFO : 1 | Red          @ 1386386.218
INFO : 0 | Red          @ 1386396.171
INFO : 1 | Green        @ 1386396.218
INFO : 0 | Green        @ 1386406.171
