INFO : 1 | Red          @ 1374747.109
INFO : 0 | Green        @ 1374747.14
INFO : 1 | Green        @ 1374757.031
INFO : 0 | Red          @ 1374757.156
INFO : 1 | Red          @ 1374767.078
INFO : 0 | Green        @ 1374767.125
INFO : 0 | Red          @ 1374777.125
INFO : 1 | Green        @ 1374777.125
INFO : 1 | Red          @ 1374787.093
INFO : 0 | Green        @ 1374787.125
INFO : 1 | Green        @ 1374797.109
INFO : 0 | Red          @ 1374797.14
INFO : 1 | Red          @ 1374807.125
INFO : 0 | Green        @ 1374807.156
INFO : 0 | Red          @ 1374817.093
INFO : 1 | Green        @ 1374817.171
INFO : 1 | Red          @ 1374827.125
INFO : 0 | Green        @ 1374827.125
INFO : 1 | Green        @ 1374837.093
INFO : 0 | Red          @ 1374837.125
INFO : 1 | Red          @ 1374847.0
INFO : 0 | Green        @ 1374847.125
INFO : 1 | Green        @ 1374856.906
INFO : 0 | Red          @ 1374857.125
INFO : 0 | Green        @ 1374867.125
INFO : 1 | Red          @ 1374867.14
INFO : 0 | Red          @ 1374877.093
INFO : 1 | Green        @ 1374877.14
INFO : 0 | Green        @ 1374887.078
INFO : 1 | Red          @ 1374887.156
INFO : 0 | Red          @ 1374897.031
INFO : 1 | Green        @ 1374897.14
INFO : 1 | Red          @ 1374907.14
INFO : 0 | Green        @ 1374907.375
INFO : 0 | Red          @ 1374917.0
INFO : 1 | Green        @ 1374917.125
INFO : 0 | Green        @ 1374926.343
INFO : 1 | Red          @ 1374927.125
INFO : 0 | Red          @ 1374935.687
INFO : 1 | Green        @ 1374937.125
INFO : 0 | Green        @ 1374947.125
INFO : 1 | Red          @ 1374947.125
INFO : 1 | Green        @ 1374957.109
INFO : 0 | Red          @ 1374957.125
INFO : 0 | Green        @ 1374966.796
INFO : 1 | Red          @ 1374967.093
INFO : 1 | Green        @ 1374977.109
INFO : 0 | Red          @ 1374977.203
INFO : 1 | Red          @ 1374987.14
INFO : 0 | Green        @ 1374987.281
INFO : 0 | Red          @ 1374997.109
INFO : 1 | Green        @ 1374997.218
INFO : 0 | Green        @ 1375007.14
INFO : 1 | Red          @ 1375007.312
INFO : 1 | Green        @ 1375017.187
INFO : 0 | Red          @ 1375017.281
INFO : 1 | Red          @ 1375026.937
INFO : 0 | Green        @ 1375027.125
INFO : 1 | Green        @ 1375037.14
INFO : 0 | Red          @ 1375037.156
INFO : 0 | Green        @ 1375047.14
INFO : 1 | Red          @ 1375047.203
INFO : 0 | Red          @ 1375057.125
INFO : 1 | Green        @ 1375057.14
INFO : 0 | Green        @ 1375067.125
INFO : 1 | Red          @ 1375067.125
INFO : 0 | Red          @ 1375077.125
INFO : 1 | Green        @ 1375077.125
INFO : 0 | Green        @ 1375087.14
INFO : 1 | Red          @ 1375087.171
INFO : 0 | Red          @ 1375097.203
INFO : 1 | Green        @ 1375097.343
INFO : 0 | Green        @ 1375107.171
INFO : 1 | Red          @ 1375107.5
INFO : 1 | Green        @ 1375117.125
INFO : 0 | Red          @ 1375117.203
INFO : 0 | Green        @ 1375127.078
INFO : 1 | Red          @ 1375127.093
INFO : 0 | Red          @ 1375137.125
INFO : 1 | Green        @ 1375137.171
INFO : 1 | Red          @ 1375147.171
INFO : 0 | Green        @ 1375147.187
INFO : 1 | Green        @ 1375156.968
INFO : 0 | Red          @ 1375157.187
INFO : 1 | Red          @ 1375166.765
INFO : 0 | Green        @ 1375167.171
INFO : 1 | Green        @ 1375176.578
INFO : 0 | Red          @ 1375177.484
INFO : 1 | Red          @ 1375187.156
INFO : 0 | Green        @ 1375187.203
INFO : 0 | Red          @ 1375197.156
INFO : 1 | Green        @ 1375197.375
INFO : 1 | Red          @ 1375207.125
INFO : 0 | Green        @ 1375207.265
INFO : 0 | Red          @ 1375217.125
INFO : 1 | Green        @ 1375217.125
INFO : 1 | Red          @ 1375227.125
INFO : 0 | Green        @ 1375227.187
INFO : 0 | Red          @ 1375237.125
INFO : 1 | Green        @ 1375237.125
INFO : 0 | Green        @ 1375246.828
INFO : 1 | Red          @ 1375247.125
INFO : 0 | Red          @ 1375256.343
INFO : 0 | Green        @ 1375256.562
INFO : 1 | Green        @ 1375256.687
INFO : 0 | Red          @ 1375257.234
INFO : 1 | Red          @ 1375265.984
INFO : 0 | Green        @ 1375267.265
INFO : 1 | Green        @ 1375275.265
INFO : 0 | Red          @ 1375277.296
INFO : 1 | Red          @ 1375284.578
INFO : 0 | Green        @ 1375287.265
INFO : 0 | Red          @ 1375297.109
INFO : 1 | Green        @ 1375297.156
INFO : 0 | Green        @ 1375307.109
INFO : 1 | Red          @ 1375307.25
INFO : 1 | Green        @ 1375317.093
INFO : 0 | Red          @ 1375317.109
INFO : 1 | Red          @ 1375327.093
INFO : 0 | Green        @ 1375327.109
INFO : 0 | Red          @ 1375337.093
INFO : 1 | Green        @ 1375337.109
INFO : 1 | Red          @ 1375347.125
INFO : 0 | Green        @ 1375347.125
INFO : 0 | Red          @ 1375357.125
INFO : 1 | Green        @ 1375357.125
INFO : 0 | Green        @ 1375367.125
INFO : 1 | Red          @ 1375367.125
INFO : 0 | Red          @ 1375377.109
