INFO : 1 | Red          @ 1629623.437
INFO : 0 | Green        @ 1629623.453
INFO : 1 | Green        @ 1629633.39
INFO : 0 | Red          @ 1629633.39
INFO : 0 | Green        @ 1629643.39
INFO : 1 | Red          @ 1629643.39
INFO : 1 | Green        @ 1629653.375
INFO : 0 | Red          @ 1629653.421
INFO : 0 | Green        @ 1629663.39
INFO : 1 | Red          @ 1629663.437
INFO : 1 | Green        @ 1629673.39
INFO : 0 | Red          @ 1629673.406
INFO : 0 | Green        @ 1629683.39
INFO : 1 | Red          @ 1629683.406
INFO : 1 | Green        @ 1629693.406
INFO : 0 | Red          @ 1629693.406
INFO : 0 | Green        @ 1629703.343
INFO : 1 | Red          @ 1629703.421
INFO : 1 | Green        @ 1629713.375
INFO : 0 | Red          @ 1629713.421
INFO : 1 | Red          @ 1629723.109
INFO : 0 | Green        @ 1629723.468
INFO : 1 | Green        @ 1629733.359
INFO : 0 | Red          @ 1629733.39
INFO : 1 | Red          @ 1629743.406
INFO : 0 | Green        @ 1629743.421
INFO : 1 | Green        @ 1629753.406
INFO : 0 | Red          @ 1629753.421
INFO : 1 | Red          @ 1629763.39
INFO : 0 | Green        @ 1629763.39
INFO : 0 | Red          @ 1629773.437
INFO : 1 | Green        @ 1629773.453
INFO : 0 | Green        @ 1629783.484
INFO : 1 | Red          @ 1629783.5
INFO : 0 | Red          @ 1629793.531
INFO : 1 | Green        @ 1629793.562
INFO : 0 | Green        @ 1629803.578
INFO : 1 | Red          @ 1629803.625
INFO : 0 | Red          @ 1629813.625
INFO : 1 | Green        @ 1629813.671
INFO : 0 | Green        @ 1629823.656
INFO : 1 | Red          @ 1629823.734
INFO : 0 | Red          @ 1629833.375
INFO : 1 | Green        @ 1629833.375
INFO : 0 | Green        @ 1629843.453
INFO : 1 | Red          @ 1629843.468
INFO : 0 | Red          @ 1629853.546
INFO : 1 | Green        @ 1629853.546
INFO : 1 | Red          @ 1629863.453
INFO : 0 | Green        @ 1629863.453
INFO : 0 | Red          @ 1629873.437
INFO : 1 | Green        @ 1629873.437
INFO : 0 | Green        @ 1629883.39
INFO : 1 | Red          @ 1629883.39
INFO : 0 | Red          @ 1629893.39
INFO : 1 | Green        @ 1629893.39
INFO : 0 | Green        @ 1629903.39
INFO : 1 | Red          @ 1629903.406
INFO : 0 | Red          @ 1629913.39
INFO : 1 | Green        @ 1629913.39
INFO : 0 | Green        @ 1629923.453
INFO : 1 | Red          @ 1629923.453
INFO : 0 | Red          @ 1629933.89
INFO : 1 | Green        @ 1629933.89
INFO : 0 | Green        @ 1629943.39
INFO : 1 | Red          @ 1629943.39
INFO : 0 | Red          @ 1629953.375
INFO : 1 | Green        @ 1629953.39
INFO : 0 | Green        @ 1629963.375
INFO : 1 | Red          @ 1629963.375
INFO : 0 | Red          @ 1629973.39
INFO : 1 | Green        @ 1629973.39
INFO : 0 | Green        @ 1629983.5
INFO : 1 | Red          @ 1629983.515
INFO : 0 | Red          @ 1629993.812
INFO : 1 | Green        @ 1629993.812
INFO : 0 | Green        @ 1630004.093
INFO : 1 | Red          @ 1630004.109
INFO : 0 | Red          @ 1630014.39
INFO : 1 | Green        @ 1630014.406
INFO : 0 | Green        @ 1630023.39
INFO : 1 | Red          @ 1630023.406
INFO : 0 | Red          @ 1630033.375
INFO : 1 | Green        @ 1630033.375
INFO : 0 | Green        @ 1630043.468
INFO : 1 | Red          @ 1630043.468
INFO : 0 | Red          @ 1630053.39
INFO : 1 | Green        @ 1630053.39
INFO : 1 | Red          @ 1630063.39
INFO : 0 | Green        @ 1630063.39
INFO : 1 | Green        @ 1630073.25
INFO : 0 | Red          @ 1630073.25
INFO : 0 | Green        @ 1630083.093
INFO : 1 | Red          @ 1630083.093
INFO : 0 | Red          @ 1630092.921
INFO : 1 | Green        @ 1630092.921
INFO : 0 | Green        @ 1630103.281
INFO : 1 | Red          @ 1630103.281
INFO : 1 | Green        @ 1630113.296
INFO : 0 | Red          @ 1630113.296
INFO : 0 | Green        @ 1630123.234
INFO : 1 | Red          @ 1630123.25
INFO : 1 | Green        @ 1630133.234
INFO : 0 | Red          @ 1630133.234
INFO : 0 | Green        @ 1630133.406
INFO : 1 | Red          @ 1630133.406
INFO : 0 | Red          @ 1630133.406
INFO : 1 | Green        @ 1630133.406
INFO : 0 | Green        @ 1630143.453
INFO : 1 | Red          @ 1630143.453
INFO : 0 | Red          @ 1630153.625
INFO : 1 | Green        @ 1630153.64
INFO : 1 | Red          @ 1630164.031
INFO : 0 | Green        @ 1630164.171
INFO : 1 | Green        @ 1630174.421
INFO : 0 | Red          @ 1630174.718
INFO : 0 | Green        @ 1630183.5
INFO : 1 | Red          @ 1630183.531
INFO : 0 | Red          @ 1630193.734
INFO : 1 | Green        @ 1630193.734
INFO : 1 | Red          @ 1630203.578
INFO : 0 | Green        @ 1630203.578
INFO : 1 | Green        @ 1630213.421
INFO : 0 | Red          @ 1630213.437
INFO : 1 | Red          @ 1630223.25
INFO : 0 | Green        @ 1630223.281
INFO : 1 | Green        @ 1630233.421
INFO : 0 | Red          @ 1630233.421
INFO : 1 | Red          @ 1630243.39
INFO : 0 | Green        @ 1630243.39
INFO : 1 | Green        @ 1630253.39
INFO : 0 | Red          @ 1630253.39
INFO : 1 | Red          @ 1630263.39
INFO : 0 | Green        @ 1630263.421
INFO : 0 | Red          @ 1630273.406
INFO : 1 | Green        @ 1630273.421
INFO : 0 | Green        @ 1630283.484
INFO : 1 | Red          @ 1630283.515
INFO : 0 | Red          @ 1630293.562
INFO : 1 | Green        @ 1630293.609
INFO : 0 | Green        @ 1630303.609
INFO : 1 | Red          @ 1630303.64
INFO : 1 | Green        @ 1630315.156
INFO : 0 | Red          @ 1630315.234
INFO : 0 | Green        @ 1630323.406
INFO : 1 | Red          @ 1630323.421
INFO : 1 | Green        @ 1630333.328
INFO : 0 | Red          @ 1630333.343
INFO : 1 | Red          @ 1630343.375
INFO : 0 | Green        @ 1630343.375
INFO : 0 | Red          @ 1630353.765
INFO : 1 | Green        @ 1630353.765
INFO : 0 | Green        @ 1630363.406
INFO : 1 | Red          @ 1630363.421
INFO : 0 | Red          @ 1630373.375
INFO : 1 | Green        @ 1630373.39
INFO : 0 | Green        @ 1630383.343
INFO : 1 | Red          @ 1630383.375
INFO : 0 | Red          @ 1630393.437
INFO : 1 | Green        @ 1630393.437
INFO : 1 | Red          @ 1630403.328
INFO : 0 | Green        @ 1630403.328
INFO : 1 | Green        @ 1630413.218
INFO : 0 | Red          @ 1630413.234
INFO : 0 | Green        @ 1630423.5
INFO : 1 | Red          @ 1630423.5
INFO : 0 | Red          @ 1630433.421
INFO : 1 | Green        @ 1630433.421
INFO : 0 | Green        @ 1630443.328
INFO : 1 | Red          @ 1630443.343
INFO : 1 | Green        @ 1630453.406
INFO : 0 | Red          @ 1630453.421
INFO : 1 | Red          @ 1630463.375
INFO : 0 | Green        @ 1630463.468
INFO : 0 | Red          @ 1630473.437
INFO : 1 | Green        @ 1630473.468
INFO : 0 | Green        @ 1630483.14
INFO : 1 | Red          @ 1630483.25
INFO : 1 | Green        @ 1630493.531
INFO : 0 | Red          @ 1630493.546
