INFO : 0 | Red          @ 89642.785425041
INFO : 1 | Green        @ 89642.785460208
INFO : 0 | Green        @ 89652.785384416
INFO : 1 | Red          @ 89652.785436541
INFO : 0 | Red          @ 89662.785372166
INFO : 1 | Green        @ 89662.785409041
INFO : 1 | Red          @ 89672.785381041
INFO : 0 | Green        @ 89672.785452958
INFO : 0 | Red          @ 89682.785378458
INFO : 1 | Green        @ 89682.785465375
INFO : 1 | Red          @ 89692.785380625
INFO : 0 | Green        @ 89692.785401625
INFO : 1 | Green        @ 89702.785380291
INFO : 0 | Red          @ 89702.785406
INFO : 1 | Red          @ 89712.785381708
INFO : 0 | Green        @ 89712.785418791
INFO : 0 | Red          @ 89722.785379541
INFO : 1 | Green        @ 89722.785404333
INFO : 1 | Red          @ 89732.785383916
INFO : 0 | Green        @ 89732.785431041
INFO : 0 | Red          @ 89742.785381375
INFO : 1 | Green        @ 89742.785437458
INFO : 1 | Red          @ 89752.785373583
INFO : 0 | Green        @ 89752.785392291
INFO : 0 | Red          @ 89762.785383083
INFO : 1 | Green        @ 89762.785398958
INFO : 1 | Red          @ 89772.785390083
INFO : 0 | Green        @ 89772.78544625
INFO : 1 | Green        @ 89782.785381583
INFO : 0 | Red          @ 89782.785402458
INFO : 0 | Green        @ 89792.785365833
INFO : 1 | Red          @ 89792.785407166
INFO : 0 | Red          @ 89802.785372083
INFO : 1 | Green        @ 89802.785414208
INFO : 1 | Red          @ 89812.785374416
INFO : 0 | Green        @ 89812.785415791
INFO : 0 | Red          @ 89822.785379666
INFO : 1 | Green        @ 89822.78543375
INFO : 0 | Green        @ 89832.785375125
INFO : 1 | Red          @ 89832.785395958
INFO : 1 | Green        @ 89842.785364458
INFO : 0 | Red          @ 89842.785433625
INFO : 1 | Red          @ 89852.785398583
INFO : 0 | Green        @ 89852.785452833
INFO : 1 | Green        @ 89862.785371083
INFO : 0 | Red          @ 89862.785412333
INFO : 1 | Red          @ 89872.785373375
INFO : 0 | Green        @ 89872.785426208
INFO : 1 | Green        @ 89882.785370208
INFO : 0 | Red          @ 89882.785395208
INFO : 0 | Green        @ 89892.785372416
INFO : 1 | Red          @ 89892.785393166
INFO : 0 | Red          @ 89902.785377708
INFO : 1 | Green        @ 89902.785431291
INFO : 0 | Green        @ 89912.785357708
INFO : 1 | Red          @ 89912.785376625
INFO : 0 | Red          @ 89922.785379708
INFO : 1 | Green        @ 89922.785441708
INFO : 1 | Red          @ 89932.785377041
INFO : 0 | Green        @ 89932.78542
