INFO : 0 | Red          @ 35750.875
INFO : 1 | Green        @ 35750.875
INFO : 0 | Green        @ 35760.906
INFO : 1 | Red          @ 35760.906
INFO : 1 | Green        @ 35770.875
INFO : 0 | Red          @ 35770.875
INFO : 1 | Red          @ 35780.875
INFO : 0 | Green        @ 35780.875
INFO : 1 | Green        @ 35790.875
INFO : 0 | Red          @ 35790.875
INFO : 0 | Green        @ 35800.875
INFO : 1 | Red          @ 35800.953
INFO : 1 | Green        @ 35810.875
INFO : 0 | Red          @ 35810.875
INFO : 1 | Red          @ 35820.875
INFO : 0 | Green        @ 35820.875
INFO : 0 | Red          @ 35830.89
INFO : 1 | Green        @ 35830.89
INFO : 1 | Red          @ 35840.859
INFO : 0 | Green        @ 35840.875
INFO : 1 | Green        @ 35850.859
INFO : 0 | Red          @ 35850.875
INFO : 1 | Red          @ 35860.859
INFO : 0 | Green        @ 35860.875
INFO : 1 | Green        @ 35870.89
INFO : 0 | Red          @ 35870.906
INFO : 1 | Red          @ 35880.875
INFO : 0 | Green        @ 35880.875
INFO : 1 | Green        @ 35890.875
INFO : 0 | Red          @ 35890.875
INFO : 1 | Red          @ 35900.859
INFO : 0 | Green        @ 35900.875
INFO : 0 | Red          @ 35910.89
INFO : 1 | Green        @ 35910.906
INFO : 1 | Red          @ 35920.859
INFO : 0 | Green        @ 35920.875
INFO : 1 | Green        @ 35930.875
INFO : 0 | Red          @ 35930.875
INFO : 1 | Red          @ 35940.875
INFO : 0 | Green        @ 35940.875
INFO : 1 | Green        @ 35950.906
INFO : 0 | Red          @ 35950.906
INFO : 1 | Red          @ 35960.875
INFO : 0 | Green        @ 35960.875
INFO : 1 | Green        @ 35970.859
INFO : 0 | Red          @ 35970.875
INFO : 1 | Red          @ 35980.875
INFO : 0 | Green        @ 35980.875
INFO : 0 | Red          @ 35990.906
INFO : 1 | Green        @ 35990.906
INFO : 1 | Red          @ 36000.875
INFO : 0 | Green        @ 36000.875
INFO : 1 | Green        @ 36010.859
INFO : 1 | Red          @ 36010.859
INFO : 0 | Red          @ 36010.875
INFO : 1 | Green        @ 36010.875
INFO : 0 | Green        @ 36020.875
INFO : 1 | Red          @ 36020.875
INFO : 0 | Red          @ 36030.875
INFO : 1 | Green        @ 36030.875
INFO : 1 | Red          @ 36040.875
INFO : 0 | Green        @ 36040.875
INFO : 1 | Green        @ 36050.875
INFO : 0 | Red          @ 36050.875
INFO : 0 | Green        @ 36060.89
INFO : 1 | Red          @ 36060.89
INFO : 1 | Green        @ 36070.875
INFO : 0 | Red          @ 36070.875
INFO : 1 | Red          @ 36080.859
INFO : 0 | Green        @ 36080.875
INFO : 1 | Green        @ 36090.875
INFO : 0 | Red          @ 36090.875
INFO : 0 | Green        @ 36100.89
INFO : 1 | Red          @ 36100.906
INFO : 0 | Red          @ 36110.875
INFO : 1 | Green        @ 36110.875
INFO : 1 | Red          @ 36120.875
INFO : 0 | Green        @ 36120.875
INFO : 1 | Green        @ 36130.875
INFO : 0 | Red          @ 36130.875
INFO : 0 | Green        @ 36140.859
INFO : 1 | Red          @ 36140.89
INFO : 0 | Red          @ 36150.875
INFO : 1 | Green        @ 36150.875
INFO : 0 | Green        @ 36160.875
INFO : 1 | Red          @ 36160.875
INFO : 0 | Red          @ 36170.875
INFO : 1 | Green        @ 36170.875
INFO : 0 | Green        @ 36180.89
INFO : 1 | Red          @ 36180.906
INFO : 1 | Green        @ 36190.828
INFO : 0 | Red          @ 36190.875
INFO : 1 | Red          @ 36200.875
INFO : 0 | Green        @ 36200.875
INFO : 0 | Red          @ 36210.875
INFO : 1 | Green        @ 36210.875
INFO : 0 | Green        @ 36220.906
INFO : 1 | Red          @ 36220.906
INFO : 1 | Green        @ 36230.875
INFO : 0 | Red          @ 36230.875
INFO : 1 | Red          @ 36240.875
INFO : 0 | Green        @ 36240.875
INFO : 1 | Green        @ 36250.875
INFO : 0 | Red          @ 36250.875
INFO : 0 | Green        @ 36260.875
INFO : 1 | Red          @ 36260.906
INFO : 1 | Green        @ 36270.875
