INFO : 1 | Red          @ 38260.859
INFO : 0 | Green        @ 38260.89
INFO : 1 | Green        @ 38270.859
INFO : 0 | Red          @ 38270.875
INFO : 1 | Red          @ 38280.875
INFO : 0 | Green        @ 38280.875
INFO : 1 | Green        @ 38290.859
INFO : 0 | Red          @ 38290.906
INFO : 1 | Red          @ 38300.859
INFO : 0 | Green        @ 38300.875
INFO : 1 | Green        @ 38310.859
INFO : 0 | Red          @ 38310.875
INFO : 1 | Red          @ 38320.875
INFO : 0 | Green        @ 38320.89
INFO : 1 | Green        @ 38330.859
INFO : 0 | Red          @ 38330.875
INFO : 1 | Red          @ 38340.859
INFO : 0 | Green        @ 38340.875
INFO : 1 | Green        @ 38350.859
INFO : 0 | Red          @ 38350.875
INFO : 0 | Green        @ 38360.89
INFO : 1 | Red          @ 38360.89
INFO : 1 | Green        @ 38370.859
INFO : 0 | Red          @ 38370.875
INFO : 1 | Red          @ 38380.859
INFO : 0 | Green        @ 38380.906
INFO : 1 | Green        @ 38390.859
INFO : 0 | Red          @ 38390.875
INFO : 1 | Red          @ 38400.89
INFO : 0 | Green        @ 38400.89
INFO : 1 | Green        @ 38410.859
INFO : 0 | Red          @ 38410.875
INFO : 1 | Red          @ 38420.875
INFO : 0 | Green        @ 38420.875
INFO : 1 | Green        @ 38430.875
INFO : 0 | Red          @ 38430.875
INFO : 1 | Red          @ 38440.859
INFO : 0 | Green        @ 38440.906
INFO : 1 | Green        @ 38450.859
INFO : 0 | Red          @ 38450.875
INFO : 1 | Red          @ 38460.859
INFO : 0 | Green        @ 38460.875
INFO : 0 | Red          @ 38470.875
INFO : 1 | Green        @ 38470.875
INFO : 1 | Red          @ 38480.859
INFO : 0 | Green        @ 38480.906
INFO : 1 | Green        @ 38490.859
INFO : 0 | Red          @ 38490.875
INFO : 1 | Red          @ 38500.859
INFO : 0 | Green        @ 38500.875
INFO : 0 | Red          @ 38510.875
INFO : 1 | Green        @ 38510.875
INFO : 1 | Red          @ 38520.859
INFO : 0 | Green        @ 38520.906
INFO : 1 | Green        @ 38530.859
INFO : 0 | Red          @ 38530.875
INFO : 1 | Red          @ 38540.859
INFO : 0 | Green        @ 38540.875
INFO : 0 | Red          @ 38550.875
INFO : 1 | Green        @ 38550.89
INFO : 0 | Green        @ 38560.875
INFO : 1 | Red          @ 38561.015
INFO : 1 | Green        @ 38570.859
INFO : 0 | Red          @ 38570.875
INFO : 1 | Red          @ 38580.859
INFO : 0 | Green        @ 38580.875
INFO : 1 | Green        @ 38590.89
INFO : 0 | Red          @ 38590.89
INFO : 1 | Red          @ 38600.859
INFO : 0 | Green        @ 38600.875
INFO : 1 | Green        @ 38610.859
INFO : 0 | Red          @ 38610.875
INFO : 1 | Red          @ 38620.859
INFO : 0 | Green        @ 38620.875
INFO : 1 | Green        @ 38630.89
INFO : 0 | Red          @ 38630.89
INFO : 1 | Red          @ 38640.859
INFO : 0 | Green        @ 38640.875
INFO : 1 | Green        @ 38650.859
INFO : 0 | Red          @ 38650.875
INFO : 1 | Red          @ 38660.875
INFO : 0 | Green        @ 38660.875
INFO : 0 | Red          @ 38670.89
INFO : 1 | Green        @ 38670.906
INFO : 1 | Red          @ 38680.859
INFO : 0 | Green        @ 38680.875
INFO : 1 | Green        @ 38690.859
INFO : 0 | Red          @ 38690.875
INFO : 1 | Red          @ 38700.875
INFO : 0 | Green        @ 38700.875
INFO : 1 | Green        @ 38710.828
INFO : 0 | Red          @ 38710.906
INFO : 1 | Red          @ 38720.859
INFO : 0 | Green        @ 38720.875
INFO : 1 | Green        @ 38730.859
INFO : 0 | Red          @ 38730.875
INFO : 1 | Red          @ 38740.875
INFO : 0 | Green        @ 38740.89
INFO : 1 | Green        @ 38750.859
INFO : 0 | Red          @ 38750.906
INFO : 1 | Red          @ 38760.859
INFO : 0 | Green        @ 38760.875
INFO : 1 | Green        @ 38770.875
INFO : 0 | Red          @ 38770.875
INFO : 1 | Red          @ 38780.875
INFO : 0 | Green        @ 38780.89
INFO : 1 | Green        @ 38790.859
INFO : 0 | Red          @ 38790.921
INFO : 1 | Red          @ 38800.859
INFO : 0 | Green        @ 38800.875
INFO : 1 | Green        @ 38810.859
INFO : 0 | Red          @ 38810.89
INFO : 0 | Green        @ 38820.89
INFO : 1 | Red          @ 38820.89
INFO : 1 | Green        @ 38830.859
INFO : 0 | Red          @ 38830.906
INFO : 1 | Red          @ 38840.859
INFO : 0 | Green        @ 38840.89
INFO : 1 | Green        @ 38850.859
INFO : 0 | Red          @ 38850.89
INFO : 0 | Green        @ 38860.89
INFO : 1 | Red          @ 38860.89
INFO : 1 | Green        @ 38870.875
INFO : 0 | Red          @ 38870.921
INFO : 1 | Red          @ 38880.859
INFO : 0 | Green        @ 38880.89
INFO : 1 | Green        @ 38890.875
INFO : 0 | Red          @ 38890.89
INFO : 1 | Red          @ 38900.906
INFO : 0 | Green        @ 38900.906
